left;1458050947128;34;14;6;0;6;1;0;109642
left;1458050947128;37;37;9;0;8;1;0;109652
left;1458050947128;35;3;4;0;7;1;0;109662
left;1458050947129;33;20;7;0;6;1;0;109672
left;1458050947129;33;2;4;0;7;1;0;109682
left;1458050947129;35;36;9;0;8;1;0;109692
left;1458050947133;20;14;0;2;11;1;1;105574
left;1458050947133;20;14;0;2;11;1;1;105584
left;1458050947132;19;9;0;1;6;1;1;105084
left;1458050947133;19;9;0;1;6;1;2;105094
left;1458050947134;19;9;0;1;6;2;1;105104
left;1458050947134;19;10;0;1;6;2;1;105114
left;1458050947134;19;9;0;1;6;1;1;105124
left;1458050947133;20;14;0;2;11;1;1;105594
left;1458050947135;19;9;0;2;6;1;1;105134
right;1458050947138;22;2;4;0;6;1;0;110202
left;1458050947139;20;14;0;2;11;1;1;105604
left;1458050947139;20;14;0;2;11;1;1;105614
left;1458050947140;21;14;0;2;11;1;1;105624
right;1458050947138;24;12;5;0;8;2;0;110212
left;1458050947140;21;15;0;2;11;1;1;105634
left;1458050947145;21;14;0;2;10;1;1;105644
left;1458050947145;21;14;0;2;10;1;1;105654
left;1458050947145;21;14;0;2;10;1;1;105664
left;1458050947148;22;15;0;2;10;1;1;105674
left;1458050947151;19;9;0;2;7;2;1;105144
left;1458050947157;19;10;0;2;6;2;1;105154
left;1458050947157;22;15;0;2;10;1;1;105684
left;1458050947159;20;14;0;2;11;1;1;105494
left;1458050947159;20;14;0;2;11;1;1;105504
left;1458050947159;20;14;0;2;11;1;1;105514
left;1458050947160;20;14;0;2;11;1;1;105524
left;1458050947160;20;14;0;2;11;1;1;105534
left;1458050947160;32;1;4;0;6;1;0;110272
left;1458050947161;35;12;4;0;7;1;0;110282
left;1458050947161;34;35;7;0;7;1;0;110292
left;1458050947162;20;14;0;2;11;1;1;105544
left;1458050947165;31;8;5;0;6;1;0;110302
left;1458050947166;31;1;4;0;6;1;0;110312
left;1458050947166;33;4;4;0;7;1;0;110322
left;1458050947166;31;17;7;0;6;1;0;110332
left;1458050947166;34;10;4;0;7;1;0;110342
right;1458050947171;24;15;1;3;8;2;1;105434
right;1458050947172;23;15;1;2;8;2;1;105444
right;1458050947175;23;15;0;2;8;2;1;105454
right;1458050947176;27;7;4;0;6;1;0;110012
right;1458050947176;27;1;3;0;6;1;0;110022
right;1458050947176;31;17;4;0;8;1;0;110032
right;1458050947176;31;16;4;0;8;1;0;110042
right;1458050947177;30;8;4;0;7;1;0;110052
right;1458050947177;27;3;3;0;6;1;0;110062
right;1458050947177;29;4;4;0;7;1;0;110072
right;1458050947177;23;15;0;2;9;2;1;105464
right;1458050947181;23;15;0;2;8;2;1;105344
right;1458050947181;23;15;0;2;8;2;1;105354
right;1458050947181;23;15;1;2;8;2;1;105364
