seconds,mV,mV,mV
4.172,0.000,0.000,0.000
4.180,0.000,0.000,0.000
4.188,0.000,0.000,0.000
4.195,0.000,0.000,0.000
4.203,0.000,0.000,0.000
4.211,0.000,0.000,0.000
4.219,0.000,0.000,0.000
4.227,0.000,0.000,0.000
4.234,0.000,0.000,0.000
4.242,0.000,0.000,0.000
4.250,0.000,0.000,0.000
4.258,0.000,0.000,0.000
4.266,0.000,0.000,0.000
4.273,0.000,0.000,0.000
4.281,0.000,0.000,0.000
4.289,0.000,0.000,0.000
4.297,0.000,0.000,0.000
4.305,0.000,0.000,0.000
4.312,0.000,0.000,0.000
4.320,0.000,0.000,0.000
4.328,0.000,0.000,0.000
4.336,0.000,0.000,0.000
4.344,0.000,0.000,0.000
4.352,0.000,0.000,0.000
4.359,0.000,0.000,0.000
4.367,0.000,0.000,0.000
4.375,0.000,0.000,0.000
4.383,0.000,0.000,0.000
4.391,0.000,0.000,0.000
4.398,0.000,0.000,0.000
4.406,0.000,0.000,0.000
4.414,0.000,0.000,0.000
4.422,0.000,0.000,0.000
4.430,0.000,0.000,0.000
4.438,1.000,1.000,1.000
4.445,1.000,1.000,1.000
4.453,1.000,1.000,1.000
4.461,1.000,1.000,1.000
4.469,1.000,1.000,1.000
4.477,1.000,1.000,1.000
4.484,1.000,1.000,1.000
4.492,1.000,1.000,1.000
4.500,1.000,1.000,1.000
4.508,1.000,1.000,1.000
4.516,1.000,1.000,1.000
4.523,1.000,1.000,1.000
4.531,1.000,1.000,1.000
4.539,1.000,1.000,1.000
4.547,1.000,1.000,1.000
4.555,1.000,1.000,1.000
4.562,1.000,1.000,1.000
4.570,1.000,1.000,1.000
4.578,0.000,0.000,0.000
4.586,0.000,0.000,0.000
4.594,0.000,0.000,0.000
4.602,0.000,0.000,0.000
4.609,0.000,0.000,0.000
4.617,0.000,0.000,0.000
4.625,0.000,0.000,0.000
4.633,0.000,0.000,0.000
4.641,0.000,0.000,0.000
4.648,0.000,0.000,0.000
4.656,0.000,0.000,0.000
4.664,0.000,0.000,0.000
4.672,0.000,0.000,0.000
4.680,0.000,0.000,0.000
4.688,0.000,0.000,0.000
4.695,0.000,0.000,0.000
4.703,0.000,0.000,0.000
4.711,0.000,0.000,0.000
4.719,0.000,0.000,0.000
4.727,0.000,0.000,0.000
4.734,0.000,0.000,0.000
4.742,0.000,0.000,0.000
4.750,0.000,0.000,0.000
4.758,0.000,0.000,0.000
4.766,0.000,0.000,0.000
4.773,0.000,0.000,0.000
4.781,0.000,0.000,0.000
4.789,0.000,0.000,0.000
4.797,0.000,0.000,0.000
4.805,0.000,0.000,0.000
4.812,0.000,0.000,0.000
4.820,0.000,0.000,0.000
4.828,0.000,0.000,0.000
4.836,0.000,0.000,0.000
4.844,0.000,0.000,0.000
4.852,0.000,0.000,0.000
4.859,0.000,0.000,0.000
4.867,0.000,0.000,0.000
4.875,0.000,0.000,0.000
4.883,0.000,0.000,0.000
4.891,0.000,0.000,0.000
4.898,0.000,0.000,0.000
4.906,0.000,0.000,0.000
4.914,0.000,0.000,0.000
4.922,0.000,0.000,0.000
4.930,0.000,0.000,0.000
4.938,0.000,0.000,0.000
4.945,0.000,0.000,0.000
4.953,0.000,0.000,0.000
4.961,0.000,0.000,0.000
4.969,0.000,0.000,0.000
4.977,0.000,0.000,0.000
4.984,0.000,0.000,0.000
4.992,0.000,0.000,0.000
5.000,0.000,0.000,0.000
5.008,0.000,0.000,0.000
5.016,0.000,0.000,0.000
5.023,0.000,0.000,0.000
5.031,0.000,0.000,0.000
5.039,0.000,0.000,0.000
5.047,0.000,0.000,0.000
5.055,0.000,0.000,0.000
5.062,0.000,0.000,0.000
5.070,0.000,0.000,0.000
5.078,0.000,0.000,0.000
5.086,0.000,0.000,0.000
5.094,0.000,0.000,0.000
5.102,0.000,0.000,0.000
5.109,0.000,0.000,0.000
5.117,0.000,0.000,0.000
5.125,0.000,0.000,0.000
5.133,0.000,0.000,0.000
5.141,0.000,0.000,0.000
5.148,0.000,0.000,0.000
5.156,0.000,0.000,0.000
5.164,0.000,0.000,0.000
5.172,0.000,0.000,0.000
5.180,0.000,0.000,0.000
5.188,0.000,0.000,0.000
5.195,0.000,0.000,0.000
5.203,0.000,0.000,0.000
5.211,0.000,0.000,0.000
5.219,0.000,0.000,0.000
5.227,0.000,0.000,0.000
5.234,0.000,0.000,0.000
5.242,0.000,0.000,0.000
5.250,0.000,0.000,0.000
5.258,0.000,0.000,0.000
5.266,0.000,0.000,0.000
5.273,0.000,0.000,0.000
5.281,0.000,0.000,0.000
5.289,0.000,0.000,0.000
5.297,0.000,0.000,0.000
5.305,0.000,0.000,0.000
5.312,0.000,0.000,0.000
5.320,0.000,0.000,0.000
5.328,0.000,0.000,0.000
5.336,0.000,0.000,0.000
5.344,0.000,0.000,0.000
5.352,0.000,0.000,0.000
5.359,0.000,0.000,0.000
5.367,0.000,0.000,0.000
5.375,0.000,0.000,0.000
5.383,0.000,0.000,0.000
5.391,0.000,0.000,0.000
5.398,0.000,0.000,0.000
5.406,0.000,0.000,0.000
5.414,0.000,0.000,0.000
5.422,0.000,0.000,0.000
5.430,0.000,0.000,0.000
5.438,1.000,1.000,1.000
5.445,1.000,1.000,1.000
5.453,1.000,1.000,1.000
5.461,1.000,1.000,1.000
5.469,1.000,1.000,1.000
5.477,1.000,1.000,1.000
5.484,1.000,1.000,1.000
5.492,1.000,1.000,1.000
5.500,1.000,1.000,1.000
